category,scientific_name,common_names,conservation_status
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Conserved
Mammal,Bos bison,"American Bison, Bison",Conserved
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Conserved
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Conserved
Mammal,Cervus elaphus,"Wapiti Or Elk, Rocky Mountain Elk",Conserved
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer, White-Tailed Deer",Conserved
Mammal,Sus scrofa,"Feral Hog, Wild Pig, Pig, Pig (Feral), Wild Boar, Wild Boar",Conserved
Mammal,Canis latrans,Coyote,Species of Concern
Mammal,Canis lupus,"Gray Wolf, Gray Wolf, Wolf",Endangered
Mammal,Canis rufus,Red Wolf,Endangered
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox, Gray Fox",Conserved
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Conserved
Mammal,Vulpes vulpes,Red Fox,Conserved
Mammal,Felis concolor,Mountain Lion,Conserved
Mammal,Felis silvestris,"Wild Cat, Wildcat",Conserved
Mammal,Lynx rufus,Bobcat,Conserved
Mammal,Puma concolor,"Panther (Mountain Lion), Cougar, Mountain Lion, Puma, Mountain Lion",Conserved
Mammal,Mephitis mephitis,Striped Skunk,Conserved
Mammal,Spilogale putorius,"Eastern Spotted Skunk, Spotted Skunk",Conserved
Mammal,Lontra canadensis,River Otter,Conserved
Mammal,Lutra canadensis,"Northern River Otter, River Otter",Conserved
Mammal,Martes pennanti,Fisher,Conserved
Mammal,Mustela,Mink (Or Weasel),Conserved
Mammal,Mustela frenata,Long-Tailed Weasel,Conserved
Mammal,Mustela nivalis,Least Weasel,Conserved
Mammal,Mustela vison,"Mink, American Mink, Mink",Conserved
Mammal,Procyon lotor,"Common Raccoon, Raccoon, Common Raccoon, Northern Raccoon, Raccoon, Raccoon",Conserved
Mammal,Ursus americanus,"Black Bear, American Black Bear, Black Bear",Conserved
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Conserved
Mammal,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat, Big Brown Bat",Species of Concern
Mammal,Lasionycteris noctivagans,"Silver-Haired Bat, Silver-Haired Bat, Silver-Haired Bat",Species of Concern
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Conserved
Mammal,Lasiurus cinereus,"Hoary Bat, Hoary Bat, Hoary Bat",Conserved
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
Mammal,Myotis grisescens,Gray Myotis,Endangered
Mammal,Myotis keenii,Keen's Myotis,Species of Concern
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis, Little Brown Bat, Little Brown Myotis, Little Brown Myotis, Little Brown Myotis",Species of Concern
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
Mammal,Nycticeius humeralis,Evening Bat,Conserved
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Conserved
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum, Virginia Opossum",Conserved
Mammal,Lepus americanus,Snowshoe Hare,Conserved
Mammal,Sylvilagus floridanus,Eastern Cottontail,Conserved
Mammal,Sylvilagus obscurus,Appalachian Cottontail,Conserved
Mammal,Sylvilagus transitionalis,New England Cottontail,Conserved
Mammal,Equus caballus,"Feral Horse, Horse",Conserved
Mammal,Homo sapiens,"Human, Humans, Man",Conserved
Mammal,Castor canadensis,"American Beaver, Beaver, American Beaver, Beaver",Conserved
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Conserved
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Conserved
Mammal,Microtus pennsylvanicus,Meadow Vole,Conserved
Mammal,Microtus pinetorum,Woodland Vole,Conserved
Mammal,Neotoma floridana,Eastern Woodrat,Conserved
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",Conserved
Mammal,Ochrotomys nuttalli,Golden Mouse,Conserved
Mammal,Ondatra zibethicus,"Muskrat, Common Muskrat, Muskbeaver, Muskrat",Conserved
Mammal,Oryzomys palustris,Marsh Rice Rat,Conserved
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,Conserved
Mammal,Peromyscus gossypinus,Cotton Mouse,Conserved
Mammal,Peromyscus leucopus,White-Footed Mouse,Conserved
Mammal,Peromyscus maniculatus,"Deer Mouse, Deer Mouse, North American Deermouse",Conserved
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Conserved
Mammal,Synaptomys cooperi,Southern Bog Lemming,Conserved
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Conserved
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Conserved
Mammal,Zapus hudsonius,Meadow Jumping Mouse,Conserved
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine, Porcupine",Conserved
Mammal,Mus musculus,House Mouse,Conserved
Mammal,Rattus norvegicus,Norway Rat,Conserved
Mammal,Rattus rattus,Black Rat,Conserved
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
Mammal,Glaucomys volans,Southern Flying Squirrel,Conserved
Mammal,Marmota monax,Woodchuck,Conserved
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",Conserved
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Conserved
Mammal,Tamias striatus,Eastern Chipmunk,Conserved
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Conserved
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Conserved
Mammal,Cryptotis parva,Least Shrew,Conserved
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew, Cinereus Shrew, Common Shrew, Masked Shrew",Conserved
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Conserved
Mammal,Sorex fumeus,Smoky Shrew,Conserved
Mammal,Sorex hoyi,"Pygmy Shrew, American Pygmy Shrew, Pygmy Shrew",Conserved
Mammal,Sorex longirostris,Southeastern Shrew,Conserved
Mammal,Sorex palustris,"Water Shrew, American Water Shrew, Northern Water Shrew, Water Shrew",Conserved
Mammal,Condylura cristata,Star-Nosed Mole,Conserved
Mammal,Parascalops breweri,Hairy-Tailed Mole,Conserved
Mammal,Scalopus aquaticus,Eastern Mole,Conserved
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,Conserved
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
Bird,Accipiter gentilis,Northern Goshawk,Conserved
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
Bird,Buteo jamaicensis,Red-Tailed Hawk,Conserved
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
Bird,Buteo platypterus,Broad-Winged Hawk,Conserved
Bird,Circus cyaneus,Northern Harrier,Species of Concern
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
Bird,Ictinia mississippiensis,Mississippi Kite,Conserved
Bird,Cathartes aura,Turkey Vulture,Species of Concern
Bird,Coragyps atratus,Black Vulture,Conserved
Bird,Pandion haliaetus,"Osprey, Osprey, Western Osprey",Species of Concern
Bird,Aix sponsa,Wood Duck,Conserved
Bird,Anas acuta,Northern Pintail,Conserved
Bird,Anas americana,American Wigeon,Conserved
Bird,Anas clypeata,Northern Shoveler,Conserved
Bird,Anas crecca,Green-Winged Teal,Conserved
Bird,Anas discors,Blue-Winged Teal,Conserved
Bird,Anas platyrhynchos,Mallard,Conserved
Bird,Anas rubripes,American Black Duck,Conserved
Bird,Aythya affinis,Lesser Scaup,Species of Concern
Bird,Aythya americana,Redhead,Conserved
Bird,Aythya collaris,Ring-Necked Duck,Conserved
Bird,Branta bernicla,"Brant, Brant, Brant Goose, Brent Goose",Conserved
Bird,Branta canadensis,Canada Goose,Conserved
Bird,Bucephala albeola,Bufflehead,Conserved
Bird,Bucephala clangula,Common Goldeneye,Conserved
Bird,Chen caerulescens,"Snow Goose, Blue Goose, Snow Goose",Conserved
Bird,Histrionicus histrionicus,Harlequin Duck,Conserved
Bird,Lophodytes cucullatus,Hooded Merganser,Conserved
Bird,Melanitta deglandi,White-Winged Scoter,Conserved
Bird,Melanitta fusca,White-Winged Scoter,Conserved
Bird,Melanitta nigra,Black Scoter,Conserved
Bird,Mergus merganser,Common Merganser,Conserved
Bird,Mergus serrator,Red-Breasted Merganser,Conserved
Bird,Oxyura jamaicensis,Ruddy Duck,Conserved
Bird,Chaetura pelagica,Chimney Swift,Conserved
Bird,Archilochus colubris,Ruby-Throated Hummingbird,Conserved
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Conserved
Bird,Caprimulgus vociferus,Whip-Poor-Will,Conserved
